plan,swing,baseline,dem,rep
2022,7.5,final_wsa,39,60
Evers least change,7.5,final_wsa,47,52
People's Map Commission,7.5,final_wsa,51,48
2012,7.600000000000001,final_wsa,47,52
2022,7.600000000000001,final_wsa,39,60
Evers least change,7.600000000000001,final_wsa,47,52
People's Map Commission,7.600000000000001,final_wsa,51,48
2012,7.700000000000003,final_wsa,47,52
2022,7.700000000000003,final_wsa,39,60
Evers least change,7.700000000000003,final_wsa,47,52
People's Map Commission,7.700000000000003,final_wsa,51,48
2012,7.800000000000001,final_wsa,47,52
2022,7.800000000000001,final_wsa,39,60
Evers least change,7.800000000000001,final_wsa,47,52
People's Map Commission,7.800000000000001,final_wsa,51,48
2012,7.900000000000002,final_wsa,47,52
2022,7.900000000000002,final_wsa,39,60
Evers least change,7.900000000000002,final_wsa,47,52
People's Map Commission,7.900000000000002,final_wsa,53,46
2012,8,final_wsa,47,52
2022,8,final_wsa,39,60
Evers least change,8,final_wsa,47,52
People's Map Commission,8,final_wsa,53,46
2012,8.100000000000001,final_wsa,47,52
2022,8.100000000000001,final_wsa,39,60
Evers least change,8.100000000000001,final_wsa,47,52
People's Map Commission,8.100000000000001,final_wsa,53,46
2012,8.200000000000003,final_wsa,47,52
2022,8.200000000000003,final_wsa,39,60
Evers least change,8.200000000000003,final_wsa,47,52
People's Map Commission,8.200000000000003,final_wsa,53,46
2012,8.3,final_wsa,47,52
2022,8.3,final_wsa,39,60
Evers least change,8.3,final_wsa,47,52
People's Map Commission,8.3,final_wsa,53,46
2012,8.400000000000002,final_wsa,47,52
2022,8.400000000000002,final_wsa,39,60
Evers least change,8.400000000000002,final_wsa,47,52
People's Map Commission,8.400000000000002,final_wsa,53,46
2012,8.5,final_wsa,48,51
2022,8.5,final_wsa,40,59
Evers least change,8.5,final_wsa,47,52
People's Map Commission,8.5,final_wsa,54,45
2012,8.600000000000001,final_wsa,48,51
2022,8.600000000000001,final_wsa,40,59
Evers least change,8.600000000000001,final_wsa,48,51
People's Map Commission,8.600000000000001,final_wsa,54,45
2012,8.700000000000003,final_wsa,48,51
2022,8.700000000000003,final_wsa,40,59
Evers least change,8.700000000000003,final_wsa,48,51
People's Map Commission,8.700000000000003,final_wsa,54,45
2012,8.8,final_wsa,48,51
2022,8.8,final_wsa,40,59
Evers least change,8.8,final_wsa,48,51
People's Map Commission,8.8,final_wsa,54,45
2012,8.900000000000002,final_wsa,48,51
2022,8.900000000000002,final_wsa,40,59
Evers least change,8.900000000000002,final_wsa,48,51
People's Map Commission,8.900000000000002,final_wsa,54,45
2012,9,final_wsa,48,51
2022,9,final_wsa,40,59
Evers least change,9,final_wsa,48,51
People's Map Commission,9,final_wsa,54,45
2012,9.100000000000001,final_wsa,48,51
2022,9.100000000000001,final_wsa,40,59
Evers least change,9.100000000000001,final_wsa,48,51
People's Map Commission,9.100000000000001,final_wsa,54,45
2012,9.200000000000003,final_wsa,48,51
2022,9.200000000000003,final_wsa,41,58
Evers least change,9.200000000000003,final_wsa,48,51
People's Map Commission,9.200000000000003,final_wsa,54,45
2012,9.3,final_wsa,48,51
2022,9.3,final_wsa,41,58
Evers least change,9.3,final_wsa,49,50
People's Map Commission,9.3,final_wsa,54,45
2012,9.400000000000002,final_wsa,48,51
2022,9.400000000000002,final_wsa,41,58
Evers least change,9.400000000000002,final_wsa,49,50
People's Map Commission,9.400000000000002,final_wsa,54,45
2012,9.5,final_wsa,48,51
2022,9.5,final_wsa,41,58
Evers least change,9.5,final_wsa,49,50
People's Map Commission,9.5,final_wsa,54,45
2012,9.600000000000001,final_wsa,48,51
2022,9.600000000000001,final_wsa,41,58
Evers least change,9.600000000000001,final_wsa,49,50
People's Map Commission,9.600000000000001,final_wsa,54,45
2012,9.700000000000003,final_wsa,48,51
2022,9.700000000000003,final_wsa,41,58
Evers least change,9.700000000000003,final_wsa,49,50
People's Map Commission,9.700000000000003,final_wsa,54,45
2012,9.8,final_wsa,48,51
2022,9.8,final_wsa,41,58
Evers least change,9.8,final_wsa,49,50
People's Map Commission,9.8,final_wsa,54,45
2012,9.900000000000002,final_wsa,48,51
2022,9.900000000000002,final_wsa,41,58
Evers least change,9.900000000000002,final_wsa,49,50
People's Map Commission,9.900000000000002,final_wsa,54,45
2012,10,final_wsa,48,51
2022,10,final_wsa,41,58
Evers least change,10,final_wsa,49,50
People's Map Commission,10,final_wsa,54,45
2012,10.100000000000001,final_wsa,48,51
2022,10.100000000000001,final_wsa,41,58
Evers least change,10.100000000000001,final_wsa,49,50
People's Map Commission,10.100000000000001,final_wsa,54,45
2012,10.200000000000003,final_wsa,48,51
2022,10.200000000000003,final_wsa,41,58
Evers least change,10.200000000000003,final_wsa,49,50
People's Map Commission,10.200000000000003,final_wsa,54,45
2012,10.3,final_wsa,48,51
2022,10.3,final_wsa,41,58
Evers least change,10.3,final_wsa,49,50
People's Map Commission,10.3,final_wsa,54,45
2012,10.400000000000002,final_wsa,48,51
2022,10.400000000000002,final_wsa,41,58
Evers least change,10.400000000000002,final_wsa,49,50
People's Map Commission,10.400000000000002,final_wsa,54,45
2012,10.5,final_wsa,48,51
2022,10.5,final_wsa,41,58
Evers least change,10.5,final_wsa,49,50
People's Map Commission,10.5,final_wsa,54,45
2012,10.600000000000001,final_wsa,48,51
2022,10.600000000000001,final_wsa,41,58
Evers least change,10.600000000000001,final_wsa,49,50
People's Map Commission,10.600000000000001,final_wsa,54,45
2012,10.700000000000003,final_wsa,48,51
2022,10.700000000000003,final_wsa,41,58
Evers least change,10.700000000000003,final_wsa,49,50
People's Map Commission,10.700000000000003,final_wsa,54,45
2012,10.8,final_wsa,48,51
2022,10.8,final_wsa,41,58
Evers least change,10.8,final_wsa,49,50
People's Map Commission,10.8,final_wsa,54,45
2012,10.900000000000002,final_wsa,48,51
2022,10.900000000000002,final_wsa,41,58
Evers least change,10.900000000000002,final_wsa,49,50
People's Map Commission,10.900000000000002,final_wsa,54,45
2012,11,final_wsa,48,51
2022,11,final_wsa,41,58
Evers least change,11,final_wsa,49,50
People's Map Commission,11,final_wsa,54,45
2012,11.100000000000001,final_wsa,48,51
2022,11.100000000000001,final_wsa,42,57
Evers least change,11.100000000000001,final_wsa,49,50
People's Map Commission,11.100000000000001,final_wsa,54,45
2012,11.200000000000003,final_wsa,48,51
2022,11.200000000000003,final_wsa,42,57
Evers least change,11.200000000000003,final_wsa,49,50
People's Map Commission,11.200000000000003,final_wsa,54,45
2012,11.3,final_wsa,48,51
2022,11.3,final_wsa,42,57
Evers least change,11.3,final_wsa,49,50
People's Map Commission,11.3,final_wsa,54,45
2012,11.400000000000002,final_wsa,48,51
2022,11.400000000000002,final_wsa,42,57
Evers least change,11.400000000000002,final_wsa,49,50
People's Map Commission,11.400000000000002,final_wsa,54,45
2012,11.5,final_wsa,48,51
2022,11.5,final_wsa,42,57
Evers least change,11.5,final_wsa,49,50
People's Map Commission,11.5,final_wsa,54,45
2012,11.600000000000001,final_wsa,48,51
2022,11.600000000000001,final_wsa,43,56
Evers least change,11.600000000000001,final_wsa,49,50
People's Map Commission,11.600000000000001,final_wsa,54,45
2012,11.700000000000003,final_wsa,48,51
2022,11.700000000000003,final_wsa,43,56
Evers least change,11.700000000000003,final_wsa,49,50
People's Map Commission,11.700000000000003,final_wsa,54,45
2012,11.8,final_wsa,48,51
2022,11.8,final_wsa,43,56
Evers least change,11.8,final_wsa,49,50
People's Map Commission,11.8,final_wsa,54,45
2012,11.900000000000002,final_wsa,48,51
2022,11.900000000000002,final_wsa,43,56
Evers least change,11.900000000000002,final_wsa,50,49
People's Map Commission,11.900000000000002,final_wsa,54,45
2012,12,final_wsa,48,51
2022,12,final_wsa,43,56
Evers least change,12,final_wsa,50,49
People's Map Commission,12,final_wsa,54,45
2012,12.100000000000001,final_wsa,48,51
2022,12.100000000000001,final_wsa,43,56
Evers least change,12.100000000000001,final_wsa,50,49
People's Map Commission,12.100000000000001,final_wsa,54,45
2012,12.200000000000003,final_wsa,48,51
2022,12.200000000000003,final_wsa,43,56
Evers least change,12.200000000000003,final_wsa,50,49
People's Map Commission,12.200000000000003,final_wsa,55,44
2012,12.300000000000004,final_wsa,48,51
2022,12.300000000000004,final_wsa,44,55
Evers least change,12.300000000000004,final_wsa,50,49
People's Map Commission,12.300000000000004,final_wsa,55,44
2012,12.399999999999999,final_wsa,49,50
2022,12.399999999999999,final_wsa,44,55
Evers least change,12.399999999999999,final_wsa,50,49
People's Map Commission,12.399999999999999,final_wsa,55,44
2012,12.5,final_wsa,49,50
2022,12.5,final_wsa,45,54
Evers least change,12.5,final_wsa,50,49
People's Map Commission,12.5,final_wsa,55,44
2012,12.600000000000001,final_wsa,49,50
2022,12.600000000000001,final_wsa,46,53
Evers least change,12.600000000000001,final_wsa,50,49
People's Map Commission,12.600000000000001,final_wsa,55,44
2012,12.700000000000003,final_wsa,49,50
2022,12.700000000000003,final_wsa,46,53
Evers least change,12.700000000000003,final_wsa,50,49
People's Map Commission,12.700000000000003,final_wsa,55,44
2012,12.800000000000004,final_wsa,49,50
2022,12.800000000000004,final_wsa,46,53
Evers least change,12.800000000000004,final_wsa,50,49
People's Map Commission,12.800000000000004,final_wsa,55,44
2012,12.899999999999999,final_wsa,49,50
2022,12.899999999999999,final_wsa,46,53
Evers least change,12.899999999999999,final_wsa,50,49
People's Map Commission,12.899999999999999,final_wsa,55,44
2012,13,final_wsa,49,50
2022,13,final_wsa,46,53
Evers least change,13,final_wsa,50,49
People's Map Commission,13,final_wsa,56,43
2012,13.100000000000001,final_wsa,49,50
2022,13.100000000000001,final_wsa,46,53
Evers least change,13.100000000000001,final_wsa,50,49
People's Map Commission,13.100000000000001,final_wsa,56,43
2012,13.200000000000003,final_wsa,49,50
2022,13.200000000000003,final_wsa,46,53
Evers least change,13.200000000000003,final_wsa,50,49
People's Map Commission,13.200000000000003,final_wsa,56,43
2012,13.300000000000004,final_wsa,49,50
2022,13.300000000000004,final_wsa,46,53
Evers least change,13.300000000000004,final_wsa,50,49
People's Map Commission,13.300000000000004,final_wsa,56,43
2012,13.399999999999999,final_wsa,49,50
2022,13.399999999999999,final_wsa,46,53
Evers least change,13.399999999999999,final_wsa,50,49
People's Map Commission,13.399999999999999,final_wsa,56,43
2012,13.5,final_wsa,49,50
2022,13.5,final_wsa,46,53
Evers least change,13.5,final_wsa,50,49
People's Map Commission,13.5,final_wsa,56,43
2012,13.600000000000001,final_wsa,49,50
2022,13.600000000000001,final_wsa,47,52
Evers least change,13.600000000000001,final_wsa,50,49
People's Map Commission,13.600000000000001,final_wsa,56,43
2012,13.700000000000003,final_wsa,49,50
2022,13.700000000000003,final_wsa,47,52
Evers least change,13.700000000000003,final_wsa,50,49
People's Map Commission,13.700000000000003,final_wsa,56,43
2012,13.800000000000004,final_wsa,50,49
2022,13.800000000000004,final_wsa,47,52
Evers least change,13.800000000000004,final_wsa,50,49
People's Map Commission,13.800000000000004,final_wsa,56,43
2012,13.899999999999999,final_wsa,50,49
2022,13.899999999999999,final_wsa,47,52
Evers least change,13.899999999999999,final_wsa,50,49
People's Map Commission,13.899999999999999,final_wsa,56,43
2012,14,final_wsa,50,49
2022,14,final_wsa,47,52
Evers least change,14,final_wsa,51,48
People's Map Commission,14,final_wsa,56,43
2012,14.100000000000001,final_wsa,50,49
2022,14.100000000000001,final_wsa,47,52
Evers least change,14.100000000000001,final_wsa,51,48
People's Map Commission,14.100000000000001,final_wsa,56,43
2012,14.200000000000003,final_wsa,50,49
2022,14.200000000000003,final_wsa,47,52
Evers least change,14.200000000000003,final_wsa,51,48
People's Map Commission,14.200000000000003,final_wsa,56,43
2012,14.300000000000004,final_wsa,50,49
2022,14.300000000000004,final_wsa,47,52
Evers least change,14.300000000000004,final_wsa,51,48
People's Map Commission,14.300000000000004,final_wsa,56,43
2012,14.399999999999999,final_wsa,50,49
2022,14.399999999999999,final_wsa,47,52
Evers least change,14.399999999999999,final_wsa,51,48
People's Map Commission,14.399999999999999,final_wsa,56,43
2012,14.5,final_wsa,50,49
2022,14.5,final_wsa,47,52
Evers least change,14.5,final_wsa,51,48
People's Map Commission,14.5,final_wsa,56,43
2012,14.600000000000001,final_wsa,50,49
2022,14.600000000000001,final_wsa,47,52
Evers least change,14.600000000000001,final_wsa,51,48
People's Map Commission,14.600000000000001,final_wsa,56,43
2012,14.700000000000003,final_wsa,51,48
2022,14.700000000000003,final_wsa,47,52
Evers least change,14.700000000000003,final_wsa,51,48
People's Map Commission,14.700000000000003,final_wsa,56,43
2012,14.800000000000004,final_wsa,51,48
2022,14.800000000000004,final_wsa,47,52
Evers least change,14.800000000000004,final_wsa,51,48
People's Map Commission,14.800000000000004,final_wsa,56,43
2012,14.899999999999999,final_wsa,51,48
2022,14.899999999999999,final_wsa,47,52
Evers least change,14.899999999999999,final_wsa,51,48
People's Map Commission,14.899999999999999,final_wsa,56,43
2012,15,final_wsa,51,48
2022,15,final_wsa,47,52
Evers least change,15,final_wsa,51,48
People's Map Commission,15,final_wsa,56,43
2012,15.100000000000001,final_wsa,51,48
2022,15.100000000000001,final_wsa,47,52
Evers least change,15.100000000000001,final_wsa,51,48
People's Map Commission,15.100000000000001,final_wsa,56,43
2012,15.200000000000003,final_wsa,51,48
2022,15.200000000000003,final_wsa,47,52
Evers least change,15.200000000000003,final_wsa,51,48
People's Map Commission,15.200000000000003,final_wsa,56,43
2012,15.300000000000004,final_wsa,51,48
2022,15.300000000000004,final_wsa,47,52
Evers least change,15.300000000000004,final_wsa,51,48
People's Map Commission,15.300000000000004,final_wsa,56,43
2012,15.399999999999999,final_wsa,52,47
2022,15.399999999999999,final_wsa,47,52
Evers least change,15.399999999999999,final_wsa,51,48
People's Map Commission,15.399999999999999,final_wsa,56,43
2012,15.5,final_wsa,52,47
2022,15.5,final_wsa,47,52
Evers least change,15.5,final_wsa,52,47
People's Map Commission,15.5,final_wsa,56,43
2012,15.600000000000001,final_wsa,52,47
2022,15.600000000000001,final_wsa,47,52
Evers least change,15.600000000000001,final_wsa,52,47
People's Map Commission,15.600000000000001,final_wsa,56,43
2012,15.700000000000003,final_wsa,52,47
2022,15.700000000000003,final_wsa,47,52
Evers least change,15.700000000000003,final_wsa,53,46
People's Map Commission,15.700000000000003,final_wsa,56,43
2012,15.800000000000004,final_wsa,52,47
2022,15.800000000000004,final_wsa,47,52
Evers least change,15.800000000000004,final_wsa,53,46
People's Map Commission,15.800000000000004,final_wsa,56,43
2012,15.899999999999999,final_wsa,52,47
2022,15.899999999999999,final_wsa,47,52
Evers least change,15.899999999999999,final_wsa,53,46
People's Map Commission,15.899999999999999,final_wsa,56,43
2012,16,final_wsa,52,47
2022,16,final_wsa,48,51
Evers least change,16,final_wsa,54,45
People's Map Commission,16,final_wsa,56,43
2012,16.1,final_wsa,52,47
2022,16.1,final_wsa,48,51
Evers least change,16.1,final_wsa,55,44
People's Map Commission,16.1,final_wsa,56,43
2012,16.200000000000003,final_wsa,52,47
2022,16.200000000000003,final_wsa,48,51
Evers least change,16.200000000000003,final_wsa,55,44
People's Map Commission,16.200000000000003,final_wsa,56,43
2012,16.300000000000004,final_wsa,52,47
2022,16.300000000000004,final_wsa,48,51
Evers least change,16.300000000000004,final_wsa,55,44
People's Map Commission,16.300000000000004,final_wsa,56,43
2012,16.4,final_wsa,52,47
2022,16.4,final_wsa,49,50
Evers least change,16.4,final_wsa,55,44
People's Map Commission,16.4,final_wsa,56,43
2012,16.5,final_wsa,53,46
2022,16.5,final_wsa,49,50
Evers least change,16.5,final_wsa,55,44
People's Map Commission,16.5,final_wsa,56,43
2012,16.6,final_wsa,53,46
2022,16.6,final_wsa,49,50
Evers least change,16.6,final_wsa,55,44
People's Map Commission,16.6,final_wsa,56,43
2012,16.700000000000003,final_wsa,53,46
2022,16.700000000000003,final_wsa,49,50
Evers least change,16.700000000000003,final_wsa,55,44
People's Map Commission,16.700000000000003,final_wsa,56,43
2012,16.800000000000004,final_wsa,54,45
2022,16.800000000000004,final_wsa,49,50
Evers least change,16.800000000000004,final_wsa,55,44
People's Map Commission,16.800000000000004,final_wsa,56,43
2012,16.9,final_wsa,54,45
2022,16.9,final_wsa,49,50
Evers least change,16.9,final_wsa,55,44
People's Map Commission,16.9,final_wsa,56,43
2012,17,final_wsa,54,45
2022,17,final_wsa,49,50
Evers least change,17,final_wsa,55,44
People's Map Commission,17,final_wsa,56,43
2012,17.1,final_wsa,54,45
2022,17.1,final_wsa,50,49
Evers least change,17.1,final_wsa,55,44
People's Map Commission,17.1,final_wsa,56,43
2012,17.200000000000003,final_wsa,54,45
2022,17.200000000000003,final_wsa,51,48
Evers least change,17.200000000000003,final_wsa,55,44
People's Map Commission,17.200000000000003,final_wsa,56,43
2012,17.300000000000004,final_wsa,54,45
2022,17.300000000000004,final_wsa,51,48
Evers least change,17.300000000000004,final_wsa,55,44
People's Map Commission,17.300000000000004,final_wsa,56,43
2012,17.4,final_wsa,54,45
2022,17.4,final_wsa,51,48
Evers least change,17.4,final_wsa,55,44
People's Map Commission,17.4,final_wsa,56,43
2012,17.5,final_wsa,54,45
2022,17.5,final_wsa,52,47
Evers least change,17.5,final_wsa,55,44
People's Map Commission,17.5,final_wsa,56,43
2012,17.6,final_wsa,54,45
2022,17.6,final_wsa,52,47
Evers least change,17.6,final_wsa,55,44
People's Map Commission,17.6,final_wsa,56,43
2012,17.700000000000003,final_wsa,54,45
2022,17.700000000000003,final_wsa,52,47
Evers least change,17.700000000000003,final_wsa,55,44
People's Map Commission,17.700000000000003,final_wsa,56,43
2012,17.800000000000004,final_wsa,54,45
2022,17.800000000000004,final_wsa,52,47
Evers least change,17.800000000000004,final_wsa,55,44
People's Map Commission,17.800000000000004,final_wsa,56,43
2012,17.9,final_wsa,54,45
2022,17.9,final_wsa,52,47
Evers least change,17.9,final_wsa,55,44
People's Map Commission,17.9,final_wsa,56,43
2012,18,final_wsa,54,45
2022,18,final_wsa,52,47
Evers least change,18,final_wsa,55,44
People's Map Commission,18,final_wsa,57,42
2012,18.1,final_wsa,54,45
2022,18.1,final_wsa,53,46
Evers least change,18.1,final_wsa,55,44
People's Map Commission,18.1,final_wsa,57,42
2012,18.200000000000003,final_wsa,54,45
2022,18.200000000000003,final_wsa,53,46
Evers least change,18.200000000000003,final_wsa,55,44
People's Map Commission,18.200000000000003,final_wsa,58,41
2012,18.300000000000004,final_wsa,54,45
2022,18.300000000000004,final_wsa,53,46
Evers least change,18.300000000000004,final_wsa,55,44
People's Map Commission,18.300000000000004,final_wsa,59,40
2012,18.400000000000006,final_wsa,55,44
2022,18.400000000000006,final_wsa,54,45
Evers least change,18.400000000000006,final_wsa,55,44
People's Map Commission,18.400000000000006,final_wsa,59,40
2012,18.5,final_wsa,56,43
2022,18.5,final_wsa,56,43
Evers least change,18.5,final_wsa,56,43
People's Map Commission,18.5,final_wsa,59,40
2012,18.6,final_wsa,57,42
2022,18.6,final_wsa,56,43
Evers least change,18.6,final_wsa,57,42
People's Map Commission,18.6,final_wsa,59,40
2012,18.700000000000003,final_wsa,57,42
2022,18.700000000000003,final_wsa,56,43
Evers least change,18.700000000000003,final_wsa,57,42
People's Map Commission,18.700000000000003,final_wsa,60,39
2012,18.800000000000004,final_wsa,57,42
2022,18.800000000000004,final_wsa,56,43
Evers least change,18.800000000000004,final_wsa,57,42
People's Map Commission,18.800000000000004,final_wsa,60,39
2012,18.900000000000006,final_wsa,57,42
2022,18.900000000000006,final_wsa,56,43
Evers least change,18.900000000000006,final_wsa,57,42
People's Map Commission,18.900000000000006,final_wsa,60,39
2012,19,final_wsa,57,42
2022,19,final_wsa,56,43
Evers least change,19,final_wsa,57,42
People's Map Commission,19,final_wsa,60,39
2012,19.1,final_wsa,57,42
2022,19.1,final_wsa,56,43
Evers least change,19.1,final_wsa,57,42
People's Map Commission,19.1,final_wsa,60,39
2012,19.200000000000003,final_wsa,57,42
2022,19.200000000000003,final_wsa,57,42
Evers least change,19.200000000000003,final_wsa,57,42
People's Map Commission,19.200000000000003,final_wsa,60,39
2012,19.300000000000004,final_wsa,57,42
2022,19.300000000000004,final_wsa,57,42
Evers least change,19.300000000000004,final_wsa,57,42
People's Map Commission,19.300000000000004,final_wsa,60,39
2012,19.400000000000006,final_wsa,57,42
2022,19.400000000000006,final_wsa,57,42
Evers least change,19.400000000000006,final_wsa,57,42
People's Map Commission,19.400000000000006,final_wsa,60,39
2012,19.5,final_wsa,57,42
2022,19.5,final_wsa,57,42
Evers least change,19.5,final_wsa,57,42
People's Map Commission,19.5,final_wsa,60,39
2012,19.6,final_wsa,57,42
2022,19.6,final_wsa,59,40
Evers least change,19.6,final_wsa,57,42
People's Map Commission,19.6,final_wsa,60,39
2012,19.700000000000003,final_wsa,58,41
2022,19.700000000000003,final_wsa,60,39
Evers least change,19.700000000000003,final_wsa,58,41
People's Map Commission,19.700000000000003,final_wsa,60,39
2012,19.800000000000004,final_wsa,58,41
2022,19.800000000000004,final_wsa,60,39
Evers least change,19.800000000000004,final_wsa,58,41
People's Map Commission,19.800000000000004,final_wsa,60,39
2012,19.900000000000006,final_wsa,60,39
2022,19.900000000000006,final_wsa,60,39
Evers least change,19.900000000000006,final_wsa,58,41
People's Map Commission,19.900000000000006,final_wsa,60,39
2012,20,final_wsa,60,39
2022,20,final_wsa,60,39
Evers least change,20,final_wsa,58,41
People's Map Commission,20,final_wsa,60,39
2012,-20,GOV,26,73
2022,-20,GOV,29,70
Evers least change,-20,GOV,27,72
People's Map Commission,-20,GOV,23,76
2012,-19.9,GOV,26,73
2022,-19.9,GOV,30,69
Evers least change,-19.9,GOV,27,72
People's Map Commission,-19.9,GOV,23,76
2012,-19.8,GOV,26,73
2022,-19.8,GOV,30,69
Evers least change,-19.8,GOV,27,72
People's Map Commission,-19.8,GOV,23,76
2012,-19.7,GOV,26,73
2022,-19.7,GOV,30,69
Evers least change,-19.7,GOV,27,72
People's Map Commission,-19.7,GOV,23,76
2012,-19.6,GOV,26,73
2022,-19.6,GOV,30,69
Evers least change,-19.6,GOV,27,72
People's Map Commission,-19.6,GOV,23,76
2012,-19.5,GOV,26,73
2022,-19.5,GOV,30,69
Evers least change,-19.5,GOV,27,72
People's Map Commission,-19.5,GOV,23,76
2012,-19.4,GOV,26,73
2022,-19.4,GOV,30,69
Evers least change,-19.4,GOV,27,72
People's Map Commission,-19.4,GOV,23,76
2012,-19.3,GOV,26,73
2022,-19.3,GOV,30,69
Evers least change,-19.3,GOV,27,72
People's Map Commission,-19.3,GOV,23,76
2012,-19.2,GOV,26,73
2022,-19.2,GOV,30,69
Evers least change,-19.2,GOV,27,72
People's Map Commission,-19.2,GOV,23,76
2012,-19.1,GOV,26,73
2022,-19.1,GOV,30,69
Evers least change,-19.1,GOV,27,72
People's Map Commission,-19.1,GOV,24,75
2012,-19,GOV,26,73
2022,-19,GOV,30,69
Evers least change,-19,GOV,27,72
People's Map Commission,-19,GOV,24,75
2012,-18.9,GOV,26,73
2022,-18.9,GOV,30,69
Evers least change,-18.9,GOV,27,72
People's Map Commission,-18.9,GOV,25,74
2012,-18.8,GOV,27,72
2022,-18.8,GOV,30,69
Evers least change,-18.8,GOV,27,72
People's Map Commission,-18.8,GOV,25,74
2012,-18.7,GOV,27,72
2022,-18.7,GOV,30,69
Evers least change,-18.7,GOV,27,72
People's Map Commission,-18.7,GOV,26,73
2012,-18.6,GOV,27,72
2022,-18.6,GOV,30,69
Evers least change,-18.6,GOV,27,72
People's Map Commission,-18.6,GOV,26,73
2012,-18.5,GOV,27,72
2022,-18.5,GOV,30,69
Evers least change,-18.5,GOV,27,72
People's Map Commission,-18.5,GOV,26,73
2012,-18.4,GOV,27,72
2022,-18.4,GOV,30,69
Evers least change,-18.4,GOV,27,72
People's Map Commission,-18.4,GOV,26,73
2012,-18.3,GOV,27,72
2022,-18.3,GOV,30,69
Evers least change,-18.3,GOV,27,72
People's Map Commission,-18.3,GOV,26,73
2012,-18.2,GOV,27,72
2022,-18.2,GOV,30,69
Evers least change,-18.2,GOV,27,72
People's Map Commission,-18.2,GOV,26,73
2012,-18.1,GOV,27,72
2022,-18.1,GOV,30,69
Evers least change,-18.1,GOV,27,72
People's Map Commission,-18.1,GOV,26,73
2012,-18,GOV,27,72
2022,-18,GOV,30,69
Evers least change,-18,GOV,27,72
People's Map Commission,-18,GOV,26,73
2012,-17.9,GOV,27,72
2022,-17.9,GOV,30,69
Evers least change,-17.9,GOV,27,72
People's Map Commission,-17.9,GOV,26,73
2012,-17.8,GOV,27,72
2022,-17.8,GOV,30,69
Evers least change,-17.8,GOV,27,72
People's Map Commission,-17.8,GOV,26,73
2012,-17.7,GOV,27,72
2022,-17.7,GOV,30,69
Evers least change,-17.7,GOV,27,72
People's Map Commission,-17.7,GOV,27,72
2012,-17.6,GOV,27,72
2022,-17.6,GOV,30,69
Evers least change,-17.6,GOV,27,72
People's Map Commission,-17.6,GOV,27,72
2012,-17.5,GOV,27,72
2022,-17.5,GOV,30,69
Evers least change,-17.5,GOV,27,72
People's Map Commission,-17.5,GOV,27,72
2012,-17.4,GOV,27,72
2022,-17.4,GOV,30,69
Evers least change,-17.4,GOV,27,72
People's Map Commission,-17.4,GOV,27,72
2012,-17.3,GOV,27,72
2022,-17.3,GOV,30,69
Evers least change,-17.3,GOV,27,72
People's Map Commission,-17.3,GOV,27,72
2012,-17.2,GOV,27,72
2022,-17.2,GOV,30,69
Evers least change,-17.2,GOV,27,72
People's Map Commission,-17.2,GOV,28,71
2012,-17.1,GOV,27,72
2022,-17.1,GOV,30,69
Evers least change,-17.1,GOV,27,72
People's Map Commission,-17.1,GOV,28,71
2012,-17,GOV,27,72
2022,-17,GOV,30,69
Evers least change,-17,GOV,27,72
People's Map Commission,-17,GOV,28,71
2012,-16.9,GOV,27,72
2022,-16.9,GOV,30,69
Evers least change,-16.9,GOV,27,72
People's Map Commission,-16.9,GOV,28,71
2012,-16.8,GOV,27,72
2022,-16.8,GOV,30,69
Evers least change,-16.8,GOV,27,72
People's Map Commission,-16.8,GOV,28,71
2012,-16.7,GOV,28,71
2022,-16.7,GOV,30,69
Evers least change,-16.7,GOV,27,72
People's Map Commission,-16.7,GOV,28,71
2012,-16.6,GOV,28,71
2022,-16.6,GOV,30,69
Evers least change,-16.6,GOV,27,72
People's Map Commission,-16.6,GOV,28,71
2012,-16.5,GOV,28,71
2022,-16.5,GOV,30,69
Evers least change,-16.5,GOV,27,72
People's Map Commission,-16.5,GOV,28,71
2012,-16.4,GOV,28,71
2022,-16.4,GOV,30,69
Evers least change,-16.4,GOV,28,71
People's Map Commission,-16.4,GOV,28,71
2012,-16.3,GOV,28,71
2022,-16.3,GOV,30,69
Evers least change,-16.3,GOV,28,71
People's Map Commission,-16.3,GOV,28,71
2012,-16.2,GOV,28,71
2022,-16.2,GOV,31,68
Evers least change,-16.2,GOV,29,70
People's Map Commission,-16.2,GOV,28,71
2012,-16.1,GOV,28,71
2022,-16.1,GOV,31,68
Evers least change,-16.1,GOV,29,70
People's Map Commission,-16.1,GOV,28,71
2012,-16,GOV,28,71
2022,-16,GOV,31,68
Evers least change,-16,GOV,29,70
People's Map Commission,-16,GOV,28,71
2012,-15.899999999999999,GOV,29,70
2022,-15.899999999999999,GOV,31,68
Evers least change,-15.899999999999999,GOV,29,70
People's Map Commission,-15.899999999999999,GOV,28,71
2012,-15.8,GOV,29,70
2022,-15.8,GOV,31,68
Evers least change,-15.8,GOV,29,70
People's Map Commission,-15.8,GOV,28,71
2012,-15.7,GOV,29,70
2022,-15.7,GOV,31,68
Evers least change,-15.7,GOV,29,70
People's Map Commission,-15.7,GOV,28,71
2012,-15.6,GOV,29,70
2022,-15.6,GOV,31,68
Evers least change,-15.6,GOV,29,70
People's Map Commission,-15.6,GOV,28,71
2012,-15.5,GOV,29,70
2022,-15.5,GOV,31,68
